index,artist_all,artist_base,rank,song,year,artist_featured
79,the jimmy castor bunch,the jimmy castor bunch,80,troglodyte (cave man),1972,
80,redbone,redbone,81,the witch queen of new orleans,1972,
81,curtis mayfield,curtis mayfield,82,freddie's dead,1972,
82,joe simon,joe simon,83,power of love,1972,
83,jerry butler  &  brenda lee eager,jerry butler,84,ain't understanding mellow,1972,
84,harry chapin,harry chapin,85,taxi,1972,
85,beverly bremers,beverly bremers,86,don't say you don't remember,1972,
86,bobby vinton,bobby vinton,87,sealed with a kiss,1972,
87,todd rundgren,todd rundgren,88,i saw the light,1972,
88,sailcat,sailcat,89,motorcycle mama,1972,
89,original cast of  godspell,stephen schwartz,90,day by day,1972,
90,yes,yes,91,roundabout,1972,
91,jackson browne,jackson browne,92,doctor my eyes,1972,
92,the new seekers,the new seekers,93,i'd like to teach the world to sing (in perfect harmony),1972,
93,don mclean,don mclean,94,vincent,1972,
94,the detroit emeralds,the detroit emeralds,95,baby let me take you (in my arms),1972,
95,rick springfield,rick springfield,96,speak to the sky,1972,
96,the hillside singers,the hillside singers,97,i'd like to teach the world to sing (in perfect harmony),1972,
97,love unlimited,love unlimited,98,walkin' in the rain with the one i love,1972,
98,james brown,james brown,99,get on the good foot,1972,
99,the isley brothers,the isley brothers,100,pop that thang,1972,
0,tony orlando and dawn,tony orlando and dawn,1,tie a yellow ribbon round the ole oak tree,1973,
1,jim croce,jim croce,2,"bad, bad leroy brown",1973,
2,roberta flack,roberta flack,3,killing me softly with his song,1973,
3,marvin gaye,marvin gaye,4,let's get it on,1973,
4,paul mccartney & wings,wings,5,my love,1973,
5,kris kristofferson,kris kristofferson,6,why me,1973,
6,elton john,elton john,7,crocodile rock,1973,
7,billy preston,billy preston,8,will it go round in circles,1973,
8,carly simon,carly simon,9,you're so vain,1973,
9,diana ross,diana ross,10,touch me in the morning,1973,
10,vicki lawrence,vicki lawrence,11,the night the lights went out in georgia,1973,
11,clint holmes,clint holmes,12,playground in my mind,1973,
12,stories,stories,13,brother louie,1973,
13,helen reddy,helen reddy,14,delta dawn,1973,
14,billy paul,billy paul,15,me and mrs. jones,1973,
15,the edgar winter group,edgar winter,16,frankenstein,1973,
16,dobie gray,dobie gray,17,drift away,1973,
17,sweet,the sweet,18,little willy,1973,
18,stevie wonder,stevie wonder,19,you are the sunshine of my life,1973,
19,cher,cher,20,half-breed,1973,
20,the isley brothers,the isley brothers,21,that lady,1973,
21,sylvia,sylvia robinson,22,pillow talk,1973,
22,grand funk railroad,grand funk railroad,23,we're an american band,1973,
23,dr. john,dr. john,24,right place wrong time,1973,
24,skylark,skylark,25,wildflower,1973,
25,stevie wonder,stevie wonder,26,superstition,1973,
26,paul simon,paul simon,27,loves me like a rock,1973,
27,maureen mcgovern,maureen mcgovern,28,the morning after,1973,
28,john denver,john denver,29,rocky mountain high,1973,
29,stealers wheel,stealers wheel,30,stuck in the middle with you,1973,
30,three dog night,three dog night,31,shambala,1973,
31,the o'jays,the o'jays,32,love train,1973,
32,barry white,barry white,33,i'm gonna love you just a little more baby,1973,
33,tony orlando and dawn,tony orlando and dawn,34,"say, has anybody seen my sweet gypsy rose",1973,
34,eddie kendricks,eddie kendricks,35,keep on truckin',1973,
35,anne murray,anne murray,36,danny's song,1973,
36,king harvest,king harvest,37,dancing in the moonlight,1973,
37,bobby 'boris' pickett,bobby 'boris' pickett,38,monster mash,1973,
38,bloodstone,bloodstone,39,natural high,1973,
39,seals and crofts,seals and crofts,40,diamond girl,1973,
40,the doobie brothers,the doobie brothers,41,long train runnin',1973,
41,george harrison,george harrison,42,give me love (give me peace on earth),1973,
42,sly & the family stone,sly & the family stone,43,if you want me to stay,1973,
43,jermaine jackson,jermaine jackson,44,daddy's home,1973,
44,gladys knight & the pips,gladys knight & the pips,45,neither one of us (wants to be the first to say goodbye),1973,
45,new york city,new york city,46,i'm doin' fine now,1973,
46,the spinners,the spinners,47,could it be i'm falling in love,1973,
47,elton john,elton john,48,daniel,1973,
48,gladys knight & the pips,gladys knight & the pips,49,midnight train to georgia,1973,
49,deep purple,deep purple,50,smoke on the water,1973,
50,dr. hook & the medicine show,dr. hook & the medicine show,51,the cover of the rolling stone,1973,
51,charlie rich,charlie rich,52,behind closed doors,1973,
52,loggins and messina,loggins and messina,53,your mama don't dance,1973,
53,chicago,chicago,54,feelin' stronger every day,1973,
54,war,war,55,the cisco kid,1973,
55,paul mccartney & wings,wings,56,live and let die,1973,
56,hurricane smith,norman smith,57,"oh, babe, what would you say?",1973,
57,johnnie taylor,johnnie taylor,58,i believe in you (you believe in me),1973,
58,the carpenters,the carpenters,59,sing,1973,
59,the four tops,the four tops,60,ain't no woman (like the one i've got),1973,
60,eric weissberg  & steve mandell,eric weissberg,61,dueling banjos,1973,
61,stevie wonder,stevie wonder,62,higher ground,1973,
62,al green,al green,63,here i am (come and take me),1973,
63,b.w. stevenson,b.w. stevenson,64,my maria,1973,
64,curtis mayfield,curtis mayfield,65,superfly,1973,
65,edward bear,edward bear,66,last song,1973,
66,gilbert o'sullivan,gilbert o'sullivan,67,get down,1973,
67,steely dan,steely dan,68,reelin' in the years,1973,
68,focus,focus,69,hocus pocus,1973,
69,the carpenters,the carpenters,70,yesterday once more,1973,
70,bette midler,bette midler,71,do you want to dance,1973,
71,gilbert o'sullivan,gilbert o'sullivan,72,clair,1973,
72,steely dan,steely dan,73,do it again,1973,
73,paul simon,paul simon,74,kodachrome,1973,
74,timmy thomas,timmy thomas,75,why can't we live together,1973,
75,bette midler,bette midler,76,do you wanna dance?,1973,
76,tower of power,tower of power,77,so very hard to go,1973,
77,johnny rivers,johnny rivers,78,rockin' pneumonia and the boogie woogie flu,1973,
78,the allman brothers band,the allman brothers band,79,ramblin' man,1973,
79,the temptations,the temptations,80,masterpiece,1973,
80,helen reddy,helen reddy,81,peaceful,1973,
81,the spinners,the spinners,82,one of a kind (love affair),1973,
82,donna fargo,donna fargo,83,funny face,1973,
83,ohio players,ohio players,84,funky worm,1973,
84,the rolling stones,the rolling stones,85,angie,1973,
85,blue ridge rangers,john fogerty,86,jambalaya (on the bayou),1973,
86,lobo,lobo,87,don't expect me to be your friend,1973,
87,the stylistics,the stylistics,88,break up to make up,1973,
88,jud strunk,jud strunk,89,daisy a day,1973,
89,deodato,eumir deodato,90,also sprach zarathustra (2001),1973,
90,johnny nash,johnny nash,91,stir it up,1973,
91,pink floyd,pink floyd,92,money,1973,
92,war,war,93,gypsy man,1973,
93,war,war,94,the world is a ghetto,1973,
94,the pointer sisters,the pointer sisters,95,yes we can can,1973,
95,the edgar winter group,edgar winter,96,free ride,1973,
96,david bowie,david bowie,97,space oddity,1973,
97,albert hammond,albert hammond,98,it never rains in southern california,1973,
98,donny osmond,donny osmond,99,the twelfth of never,1973,
99,the temptations,the temptations,100,papa was a rollin' stone,1973,
0,barbra streisand,barbra streisand,1,the way we were,1974,
1,terry jacks,terry jacks,2,seasons in the sun,1974,
2,love unlimited orchestra,love unlimited orchestra,3,love's theme,1974,
3,redbone,redbone,4,come and get your love,1974,
4,the jackson 5,the jackson 5,5,dancing machine,1974,
5,grand funk railroad,grand funk railroad,6,the loco-motion,1974,
6,mfsb,mfsb,7,tsop (the sound of philadelphia),1974,
7,ray stevens,ray stevens,8,the streak,1974,
8,elton john,elton john,9,bennie and the jets,1974,
9,mac davis,mac davis,10,one hell of a woman,1974,
10,aretha franklin,aretha franklin,11,until you come back to me (that's what i'm gonna do),1974,
11,kool & the gang,kool & the gang,12,jungle boogie,1974,
12,maria muldaur,maria muldaur,13,midnight at the oasis,1974,
13,the stylistics,the stylistics,14,you make me feel brand new,1974,
14,al wilson,al wilson,15,show and tell,1974,
15,jim stafford,jim stafford,16,spiders and snakes,1974,
16,david essex,david essex,17,rock on,1974,
17,john denver,john denver,18,sunshine on my shoulders,1974,
18,blue magic,blue magic,19,sideshow,1974,
19,blue swede,blue swede,20,hooked on a feeling,1974,
20,bo donaldson and the heywoods,bo donaldson and the heywoods,21,billy don't be a hero,1974,
21,paul mccartney and wings,paul mccartney and wings,22,band on the run,1974,
22,charlie rich,charlie rich,23,the most beautiful girl,1974,
23,jim croce,jim croce,24,time in a bottle,1974,
24,john denver,john denver,25,annie's song,1974,
25,olivia newton-john,olivia newton-john,26,let me be there,1974,
26,gordon lightfoot,gordon lightfoot,27,sundown,1974,
27,paul anka,paul anka,28,(you're) having my baby,1974,
28,andy kim,andy kim,29,rock me gently,1974,
29,eddie kendricks,eddie kendricks,30,boogie down,1974,
30,ringo starr,ringo starr,31,you're sixteen,1974,
31,olivia newton-john,olivia newton-john,32,if you love me (let me know),1974,
32,cher,cher,33,dark lady,1974,
33,gladys knight & the pips,gladys knight & the pips,34,best thing that ever happened to me,1974,
34,roberta flack,roberta flack,35,feel like makin' love,1974,
35,the main ingredient,the main ingredient,36,just don't want to be lonely,1974,
36,billy preston,billy preston,37,nothing from nothing,1974,
37,george mccrae,george mccrae,38,rock your baby,1974,
38,the carpenters,the carpenters,39,top of the world,1974,
39,steve miller band,steve miller band,40,the joker,1974,
40,gladys knight & the pips,gladys knight & the pips,41,i've got to use my imagination,1974,
41,three dog night,three dog night,42,the show must go on,1974,
42,the hues corporation,the hues corporation,43,rock the boat,1974,
43,brownsville station,brownsville station,44,smokin' in the boys room,1974,
44,stevie wonder,stevie wonder,45,living for the city,1974,
45,paper lace,paper lace,46,the night chicago died,1974,
46,dionne warwick  &  the spinners,dionne warwick,47,then came you,1974,
47,marvin hamlisch,marvin hamlisch,48,the entertainer,1974,
48,abba,abba,49,waterloo,1974,
49,the hollies,the hollies,50,the air that i breathe,1974,
50,steely dan,steely dan,51,rikki don't lose that number,1974,
51,carly simon  &  james taylor,carly simon,52,mockingbird,1974,
52,joni mitchell,joni mitchell,53,help me,1974,
53,anne murray,anne murray,54,you won't see me,1974,
54,barry white,barry white,55,"never, never gonna give you up",1974,
55,rufus  &  chaka khan,rufus,56,tell me something good,1974,
56,helen reddy,helen reddy,57,you and me against the world,1974,
57,the righteous brothers,the righteous brothers,58,rock and roll heaven,1974,
58,kool & the gang,kool & the gang,59,hollywood swinging,1974,
59,william devaughn,william devaughn,60,be thankful for what you got,1974,
60,johnny bristol,johnny bristol,61,hang on in there baby,1974,
61,mocedades,mocedades,62,eres tú,1974,
62,bachman-turner overdrive,bachman-turner overdrive,63,takin' care of business,1974,
63,golden earring,golden earring,64,radar love,1974,
64,dave loggins,dave loggins,65,please come to boston,1974,
65,wet willie,wet willie,66,keep on smilin',1974,
66,bobby womack,bobby womack,67,lookin' for a love,1974,
67,the o'jays,the o'jays,68,put your hands together,1974,
68,gladys knight & the pips,gladys knight & the pips,69,on and on,1974,
69,cat stevens,cat stevens,70,oh very young,1974,
70,helen reddy,helen reddy,71,leave me alone (ruby red dress),1974,
71,elton john,elton john,72,goodbye yellow brick road,1974,
72,chicago,chicago,73,(i've been) searchin' so long,1974,
73,ringo starr,ringo starr,74,oh my my,1974,
74,the o'jays,the o'jays,75,for the love of money,1974,
75,eric clapton,eric clapton,76,i shot the sheriff,1974,
76,paul mccartney and wings,paul mccartney and wings,77,jet,1974,
77,elton john,elton john,78,don't let the sun go down on me,1974,
78,mike oldfield,mike oldfield,79,tubular bells,1974,
79,anne murray,anne murray,80,a love song,1974,
80,donny  and  marie osmond,donny and marie osmond,81,im leaving it all up to you,1974,
81,todd rundgren,todd rundgren,82,hello it's me,1974,
82,tom t. hall,tom t. hall,83,i love,1974,
83,the guess who  featuring  wolfman jack,the guess who,84,clap for the wolfman,1974, wolfman jack
84,jim croce,jim croce,85,i'll have to say i love you in a song,1974,
85,sister janet mead,sister janet mead,86,the lord's prayer,1974,
86,lamont dozier,lamont dozier,87,trying to hold on to my woman,1974,
87,stevie wonder,stevie wonder,88,don't you worry 'bout a thing,1974,
88,charlie rich,charlie rich,89,a very special love song,1974,
89,jim stafford,jim stafford,90,my girl bill,1974,
90,paul mccartney and wings,paul mccartney and wings,91,helen wheels,1974,
91,diana ross  &  marvin gaye,diana ross,92,my mistake (was to love you),1974,
92,jim stafford,jim stafford,93,wildwood weed,1974,
93,the first class,the first class,94,beach baby,1974,
94,war,war,95,me and baby brother,1974,
95,the stylistics,the stylistics,96,rockin' roll baby,1974,
96,olivia newton-john,olivia newton-john,97,i honestly love you,1974,
97,chicago,chicago,98,call on me,1974,
98,fancy,fancy,99,wild thing,1974,
99,the spinners,the spinners,100,mighty love,1974,
0,captain & tennille,captain & tennille,1,love will keep us together,1975,
1,glen campbell,glen campbell,2,rhinestone cowboy,1975,
2,elton john,elton john,3,philadelphia freedom,1975,
3,freddy fender,freddy fender,4,before the next teardrop falls,1975,
4,frankie valli,frankie valli,5,my eyes adored you,1975,
5,"earth, wind & fire","earth, wind & fire",6,shining star,1975,
6,david bowie,david bowie,7,fame,1975,
7,neil sedaka,neil sedaka,8,laughter in the rain,1975,
8,eagles,eagles,9,one of these nights,1975,
9,john denver,john denver,10,thank god i'm a country boy,1975,
10,bee gees,bee gees,11,jive talkin',1975,
11,eagles,eagles,12,best of my love,1975,
12,minnie riperton,minnie riperton,13,lovin' you,1975,
13,carl douglas,carl douglas,14,kung fu fighting,1975,
14,the doobie brothers,the doobie brothers,15,black water,1975,
15,sweet,the sweet,16,the ballroom blitz,1975,
16,b.j. thomas,b.j. thomas,17,(hey won't you play) another somebody done somebody wrong song,1975,
17,tony orlando and dawn,tony orlando and dawn,18,he don't love you (like i love you),1975,
18,janis ian,janis ian,19,at seventeen,1975,
19,average white band,average white band,20,pick up the pieces,1975,
20,van mccoy  & the soul city symphony,van mccoy,21,the hustle,1975,
21,labelle,labelle,22,lady marmalade,1975,
